truck,car,motor,bus,train,build,sky,wall,vaget,bike,road,terrain,pole,bridge,person,traffic sign,side walk,traffic light,rider,lat,lng
0.820308685,0.000480652,,0.020324707,,0.011096954,,,0.113523483,,0.004999161,,,0.006175995,,0.023996353,,7.06E-05,,114.0520038,22.58554655
0.011583328,0.064804077,,,,0.211952209,0.201383591,0.001737595,0.305397034,4.58E-05,0.136688232,0.000823975,0.000335693,0.054470062,0.00094986,0.000120163,0.010684967,,,114.0300165,22.52205347
0.017801285,0.034715652,0.001121521,8.01E-05,1.91E-05,0.642641068,0.132884979,0.002388,0.003435135,0.032093048,0.049346924,,0.000188828,0.053106308,0.001495361,0.004343033,0.025316238,,,113.8948702,22.58392422
,0.02620697,,,,0.015367508,0.428718567,0.049592972,0.24861145,,0.184230804,0.039346695,0.003734589,9.73E-05,2.10E-05,0.00038147,0.004667282,,,113.9050763,22.52455518
0.000394821,0.018695831,,0.023719788,,0.051622391,0.549032211,,0.139917374,0.000743866,0.1749897,0.00128746,0.001678467,0.004110336,0.001560211,0.000295639,0.030534744,0.000112534,0.002281189,113.8381307,22.61201318
0.122415543,0.112102509,0.001161575,2.48E-05,,0.25469017,0.340816498,,0.069553375,0.000127792,0.09416008,,0.001338959,0.000850677,0.000238419,0.001178741,0.00227356,4.39E-05,,113.8800446,22.59167991
0.49051857,0.090709686,1.91E-05,0.000213623,1.53E-05,0.363729477,0.014295578,1.91E-06,0.023326874,,0.017986298,,,0.000118256,7.63E-06,3.43E-05,,,,114.0092773,22.5785332
0.000669479,0.056877136,0.001140594,0.002681732,,0.272436142,0.435848236,,0.034687042,0.021467209,0.037540436,0.003820419,0.000314713,0.001289368,0.038732529,0.00015831,0.09308815,5.91E-05,0.000165939,114.0709275,22.55157253
0.044462204,0.026470184,1.91E-06,0.000757217,0.002435684,0.039014816,0.592176437,0.000110626,0.051488876,,0.207777023,,0.011274338,0.017631531,0.000183105,0.000894547,0.00586319,0.000434875,,114.0610032,22.60355975
0.000999451,0.001682281,0.000171661,,,0.074214935,0.611642838,0.000537872,0.04224968,1.14E-05,0.208471298,0.001560211,0.01675415,0.006195068,0.000394821,0.000776291,0.03496933,0.00034523,,113.969869,22.58413977
,0.002548218,,1.91E-06,,0.000684738,0.473489761,,0.350097656,3.24E-05,0.087059021,0.000104904,0.00472641,0.048641205,,0.00028801,0.033302307,,,114.0449974,22.62137815
0.068288803,0.00994873,0.000396729,5.34E-05,1.91E-06,0.002065659,0.637676239,0.000278473,0.066373825,0.000249863,0.161550522,0.035121918,0.005123138,0.010629654,0.00018692,9.35E-05,0.002929688,7.63E-06,,113.8888513,22.65895745
0.000875473,0.058465958,0.000131607,,,0.17930603,0.26240921,0.035045624,0.382240295,,0.057107925,,0.001585007,0.001886368,0.000495911,0.000326157,0.021100998,,,114.04671,22.63661585
3.43E-05,0.00220108,,4.77E-05,,0.000190735,0.5123806,0.002658844,0.260356903,,0.193687439,0.003627777,0.005195618,0.00419426,3.05E-05,0.000110626,0.016220093,4.01E-05,,113.9675811,22.5605324
0.017614365,0.055044174,0.000757217,,,0.192037582,0.397161484,6.10E-05,0.157367706,0.00097084,0.117031097,,0.00528717,0.030536652,0.013023376,0.001304626,0.012777328,1.91E-06,,113.9170629,22.55932617
7.06E-05,0.00056839,,,3.81E-06,0.007389069,0.478906631,0.004776001,0.230453491,,0.23824501,0.000829697,0.001966476,0.01606369,0.005001068,0.003417969,0.012557983,0.000679016,4.77E-05,113.9337073,22.60405698
5.72E-05,0.0064888,,,,0.06300354,0.351146698,,0.425554276,4.96E-05,0.102710724,0.000257492,0.001752853,0.033479691,1.14E-05,4.20E-05,0.016422272,,,114.0551402,22.63942052
0.00069809,0.014413834,1.91E-06,0.0001297,1.91E-05,0.007556915,0.468406677,0.145231247,0.204639435,,0.122529984,0.002586365,0.00761795,0.012939453,0.002170563,0.00066185,0.011304855,6.87E-05,,113.8863923,22.68967178
0.00160408,0.003799438,,,,0.011116028,0.449163437,0.000297546,0.301717758,,0.095798492,0.000286102,0.002662659,0.079860687,,8.58E-05,0.054584503,,,113.9145442,22.57932795
0.000598907,0.0181427,0.000509262,0.008787155,,0.108200073,0.331506729,,0.370754242,,0.14768219,,0.010068893,0.004039764,,0.00053215,0.000150681,3.81E-06,,114.0923731,22.63254089
,,,,,,0.075893402,,0.847017288,,0.074274063,1.91E-06,0.000734329,,,,0.00293541,0.000120163,,114.166395,22.57971098
,0.002290726,,,,0.000606537,0.130159378,,0.767866135,,0.100011826,,3.81E-06,,1.91E-06,,3.62E-05,,,113.9373909,22.54255256
0.002422333,0.02737999,2.67E-05,0.002243042,,0.400270462,0.28544426,0.002054214,0.023206711,0.004577637,0.211393356,0.001583099,0.005498886,0.008243561,0.006612778,0.001190186,0.018341064,8.96E-05,0.000398636,114.0084882,22.64320009
0.008037567,0.018564224,4.39E-05,3.81E-06,,0.018856049,0.017223358,,0.662574768,0.004110336,0.0911026,0.000133514,0.000402451,0.166229248,0.000545502,0.002120972,0.01102829,,,113.8953099,22.58172345
0.002576828,0.001781464,1.34E-05,0.010908127,4.77E-05,0.202140808,0.405702591,,0.206285477,,0.151664734,,0.010881424,,4.01E-05,0.007291794,0.001493454,5.15E-05,9.73E-05,113.8469411,22.62192681
0.000110626,0.003263474,,,9.54E-06,0.162399292,0.260076523,,0.503967285,,0.063112259,0.004150391,0.001493454,,,2.10E-05,0.002372742,,,114.1223319,22.54091181
0.001489639,0.006082535,0.002397537,8.58E-05,,0.011230469,0.303667068,,0.475475311,0.002641678,0.094957352,0.000391006,0.000499725,0.075866699,0.001543045,0.002298355,0.022089005,1.34E-05,0.000247955,114.0106221,22.66254853
0.002946854,0.021680832,0.000394821,0.050380707,1.91E-05,0.074924469,0.589073181,0.000720978,0.063995361,0.001661301,0.13331604,0.001787186,0.008138657,0.006162643,0.004007339,0.001684189,0.034696579,0.001564026,0.003822327,114.0248724,22.62030307
0.000116348,0.002588272,,,,0.244066238,0.22562027,,0.295124054,,0.170099258,0.029825211,0.00107193,0.001356125,8.58E-05,0.00094223,0.030080795,,,113.9432725,22.52470994
3.05E-05,0.029628754,0.000123978,0.012908936,,0.027866364,0.522691727,,0.175386429,0.00110054,0.176986694,0.015901566,0.005725861,0.008548737,1.34E-05,0.010379791,0.013269424,0.000413895,,114.016247,22.56030273
0.000432968,0.043340683,4.96E-05,,,0.000801086,0.525022507,4.01E-05,0.23025322,0.00015831,0.138134003,0.019680023,0.000934601,0.011648178,,0.001211166,0.029125214,0.000144958,,113.940305,22.4900298
0.047744751,0.017997742,0.009925842,0.000759125,5.34E-05,0.038627625,0.523006439,0.01795578,0.117156982,0.000547409,0.164279938,,0.008626938,0.033966064,0.002765656,0.002630234,0.01468277,0.000156403,9.35E-05,113.855883,22.62566495
0.028486252,0.024129868,0.000490189,,,0.196464539,0.475276947,0.006702423,0.035158157,0.004236221,0.193944931,1.91E-06,0.00100708,0.014810562,0.004587173,0.000972748,0.013292313,9.16E-05,0.0013237,114.0044614,22.65344641
7.63E-06,0.038757324,0.000274658,,,0.157428741,0.448389053,0.000465393,0.130653381,0.00166893,0.175708771,0.002311707,0.005331039,0.02296257,0.00195694,0.000875473,0.013778687,1.72E-05,0.000389099,113.8293526,22.60274577
,0.001577377,,,,0.09116745,0.403533936,,0.353887558,0.000787735,0.083013535,0.032234192,0.003791809,0.002372742,2.86E-05,0.000921249,0.02766037,,,113.9410314,22.52590033
